fips,num_beds,num_icu,bed_util
1001,85,6,0.623113
1003,320,51,0.552649733
1005,74,5,0.43064
1007,35,4,0.376219
1009,25,6,0.499069
1011,61,5,0.212877
1013,72,7,0.183251
1015,448,24,0.4045205
1017,115,15,
1019,60,8,0.242532
1021,30,6,0.285458
1023,25,4,0.2347397
1025,85,10,0.2897845
1027,45,4,0.291126
1031,131,7,0.238052
1033,383,22,0.2588015
1035,58,8,0.293836
1039,187,13,0.3060065
1041,65,5,0.126027
1043,145,12,0.508172
1045,89,6,0.288241
1047,175,23,0.4046
1049,134,12,0.292219
1051,138,11,0.33092
1053,142,14,0.324099
1055,627,85,0.4914125
1057,61,8,0.261309
1059,125,11,0.353704
1061,83,6,0.165847
1063,20,4,0.067534
1065,39,5,0.256164
1069,655,66,0.694303
1071,170,10,0.152479
1073,3846,366,0.58348875
1077,263,36,0.557445
1079,98,6,0.167314
1081,314,20,0.525725
1083,71,10,0.518431
1089,1151,99,0.645774
1091,99,5,0.445242
1093,120,8,0.224596
1095,150,20,0.48187
1097,1687,123,0.72208425
1099,94,8,0.177691
1101,926,72,0.681218
1103,273,23,0.553836
1109,97,9,0.183957
1111,15,3,0.223892
1113,70,8,0.389333
1115,40,6,0.58637
1117,252,32,0.542414
1119,33,6,0.4533
1121,290,14,0.249093
1123,127,14,0.277729
1125,583,52,0.752195
1127,267,12,0.287486
1129,25,3,0.395982
1131,30,4,0.071233
1133,49,4,0.283031
2020,837,100,0.637771
2050,50,6,0.399919
2070,16,3,0.1512938
2090,152,13,0.395464
2110,73,9,0.365966
2122,77,11,0.406026333
2130,25,4,0.382466
2150,25,4,0.200114
2170,125,14,0.669271
2180,18,3,0.276408
2185,10,3,0.06625683
2188,17,3,0.2333602
2195,12,2,0.2682648
2220,25,4,0.37874
2261,24,4,0.221429
2275,8,1,0.275
4001,162,29,0.282451
4003,160,22,0.2619775
4005,362,58,0.357426
4007,50,8,0.4763235
4009,176,10,0.3044275
4012,42,6,0.26371245
4013,8999,1015,0.518186041
4015,610,80,0.4046625
4017,172,24,0.31469875
4019,2873,362,0.489808667
4021,262,39,0.279113116
4023,25,4,0.265973
4025,304,39,0.520935
4027,405,42,0.416216
5001,74,13,0.1398325
5003,33,6,0.384657
5005,268,17,0.514519
5007,306,34,0.531897667
5009,174,24,0.195868
5011,33,4,0.247671
5015,40,8,0.239379
5017,25,4,0.366247
5019,25,4,0.436712
5021,25,4,0.496548
5023,25,4,0.359781
5027,49,6,0.374247
5029,25,4,0.315178
5031,650,74,0.495103
5033,103,8,0.281955
5035,11,2,
5037,25,3,0.580822
5039,25,4,0.089415
5041,50,8,0.2570415
5043,49,5,0.404026
5045,261,25,0.3950055
5047,25,4,0.107945
5049,25,4,0.413479
5051,495,41,0.408905667
5055,129,8,0.285148
5057,79,8,0.127418
5059,72,6,0.395591
5061,20,6,0.268384
5063,235,12,0.436942
5065,25,4,0.184767
5069,471,34,0.432048
5071,90,8,0.215237
5075,25,4,0.302762
5081,25,4,0.108712
5083,41,7,0.1757135
5093,124,9,0.2339595
5103,98,8,0.165185
5107,155,6,0.095179
5113,65,6,0.284063
5115,170,11,0.428817
5119,2345,165,0.576614857
5121,50,2,0.165069
5123,118,6,0.243004
5125,177,16,0.382634
5127,24,4,0.134703
5131,828,69,0.5942815
5137,25,4,0.219178
5139,166,16,0.325525
5141,25,4,0.520657
5143,667,65,0.459265667
5145,438,13,0.653513
5149,76,9,0.374438
6001,2237,298,0.589837225
6005,52,6,0.470548
6007,385,47,0.655996667
6009,25,5,0.344219
6013,1623,172,0.539469571
6015,49,6,0.518019
6017,174,28,0.403261
6019,1697,416,0.493035481
6021,47,3,1
6023,260,27,0.484596
6025,268,28,0.417777
6027,29,5,0.242466
6029,1343,159,0.466025
6031,173,22,0.51439
6033,62,8,0.6569315
6035,25,4,0.356384
6037,19469,2107,0.545642961
6039,106,10,0.384337
6041,381,30,0.392793667
6043,18,3,0.709589
6045,142,14,0.615105
6047,226,24,0.4546865
6049,20,4,0.2302225
6051,17,2,0.268815
6053,678,47,0.54064675
6055,359,48,0.4854615
6057,137,10,0.536
6059,4973,638,0.45648845
6061,732,70,0.6108913
6063,35,8,0.265794333
6065,3363,377,0.509873769
6067,2729,333,0.623964875
6069,25,8,0.33447
6071,3610,596,0.488960044
6073,4839,595,0.592327733
6075,2594,397,0.4449212
6077,1114,110,0.497044714
6079,499,63,0.415271
6081,1502,133,0.335981857
6083,810,84,0.4107974
6085,3187,307,0.573085889
6087,356,27,0.415769
6089,518,87,0.33554225
6093,61,8,0.416877
6095,1144,103,0.491386775
6097,685,77,0.470341667
6099,1232,105,0.4147286
6101,14,2,0.225832
6103,92,11,0.553536
6105,25,4,0.23737
6107,830,84,0.34576675
6109,72,6,0.506882
6111,1292,162,0.515247429
6113,122,14,0.4755855
6115,221,24,0.707348
8001,1061,189,0.57569725
8003,49,6,0.377914
8005,993,128,0.688590333
8007,11,2,0.295641
8009,23,3,0.328219
8013,752,72,0.4840638
