fips,state_fips,county_name,state_name,state_abbrev,region,division,sqmi,pop
1001,1,Autauga,Alabama,AL,South,East South Central,594.444,55869
1003,1,Baldwin,Alabama,AL,South,East South Central,1589.823,223234
1005,1,Barbour,Alabama,AL,South,East South Central,885.008,24686
1007,1,Bibb,Alabama,AL,South,East South Central,622.461,22394
1009,1,Blount,Alabama,AL,South,East South Central,644.831,57826
1011,1,Bullock,Alabama,AL,South,East South Central,622.812,10101
1013,1,Butler,Alabama,AL,South,East South Central,776.839,19448
1015,1,Calhoun,Alabama,AL,South,East South Central,605.87,113605
1017,1,Chambers,Alabama,AL,South,East South Central,596.561,33254
1019,1,Cherokee,Alabama,AL,South,East South Central,553.525,26196
1021,1,Chilton,Alabama,AL,South,East South Central,692.852,44428
1023,1,Choctaw,Alabama,AL,South,East South Central,913.467,12589
1025,1,Clarke,Alabama,AL,South,East South Central,1238.42,23622
1027,1,Clay,Alabama,AL,South,East South Central,603.961,13235
1029,1,Cleburne,Alabama,AL,South,East South Central,560.104,14910
1031,1,Coffee,Alabama,AL,South,East South Central,678.986,52342
1033,1,Colbert,Alabama,AL,South,East South Central,592.745,55241
1035,1,Conecuh,Alabama,AL,South,East South Central,850.2,12067
1037,1,Coosa,Alabama,AL,South,East South Central,650.911,10663
1039,1,Covington,Alabama,AL,South,East South Central,1030.559,37049
1041,1,Crenshaw,Alabama,AL,South,East South Central,608.865,13772
1043,1,Cullman,Alabama,AL,South,East South Central,734.741,83768
1045,1,Dale,Alabama,AL,South,East South Central,561.101,49172
1047,1,Dallas,Alabama,AL,South,East South Central,978.738,37196
1049,1,DeKalb,Alabama,AL,South,East South Central,777.099,71513
1051,1,Elmore,Alabama,AL,South,East South Central,618.446,81209
1053,1,Escambia,Alabama,AL,South,East South Central,945.223,36633
1055,1,Etowah,Alabama,AL,South,East South Central,535.088,102268
1057,1,Fayette,Alabama,AL,South,East South Central,627.684,16302
1059,1,Franklin,Alabama,AL,South,East South Central,633.919,31362
1061,1,Geneva,Alabama,AL,South,East South Central,574.481,26271
1063,1,Greene,Alabama,AL,South,East South Central,647.023,8111
1065,1,Hale,Alabama,AL,South,East South Central,643.987,14651
1067,1,Henry,Alabama,AL,South,East South Central,561.75,17205
1069,1,Houston,Alabama,AL,South,East South Central,579.856,105882
1071,1,Jackson,Alabama,AL,South,East South Central,1077.987,51626
1073,1,Jefferson,Alabama,AL,South,East South Central,1111.415,658573
1075,1,Lamar,Alabama,AL,South,East South Central,604.846,13805
1077,1,Lauderdale,Alabama,AL,South,East South Central,668.013,92729
1079,1,Lawrence,Alabama,AL,South,East South Central,690.684,32924
1081,1,Lee,Alabama,AL,South,East South Central,607.537,164542
1083,1,Limestone,Alabama,AL,South,East South Central,559.955,98915
1085,1,Lowndes,Alabama,AL,South,East South Central,715.911,9726
1087,1,Macon,Alabama,AL,South,East South Central,608.827,18068
1089,1,Madison,Alabama,AL,South,East South Central,801.591,372909
1091,1,Marengo,Alabama,AL,South,East South Central,976.893,18863
1093,1,Marion,Alabama,AL,South,East South Central,742.342,29709
1095,1,Marshall,Alabama,AL,South,East South Central,565.845,96774
1097,1,Mobile,Alabama,AL,South,East South Central,1229.41,413210
1099,1,Monroe,Alabama,AL,South,East South Central,1025.669,20733
1101,1,Montgomery,Alabama,AL,South,East South Central,785.339,226486
1103,1,Morgan,Alabama,AL,South,East South Central,579.6,119679
1105,1,Perry,Alabama,AL,South,East South Central,719.656,8923
1107,1,Pickens,Alabama,AL,South,East South Central,881.345,19930
1109,1,Pike,Alabama,AL,South,East South Central,672.068,33114
1111,1,Randolph,Alabama,AL,South,East South Central,580.549,22722
1113,1,Russell,Alabama,AL,South,East South Central,641.17,57961
1115,1,St. Clair,Alabama,AL,South,East South Central,631.581,89512
1117,1,Shelby,Alabama,AL,South,East South Central,785.384,217702
1119,1,Sumter,Alabama,AL,South,East South Central,903.826,12427
1121,1,Talladega,Alabama,AL,South,East South Central,736.796,79978
1123,1,Tallapoosa,Alabama,AL,South,East South Central,716.522,40367
1125,1,Tuscaloosa,Alabama,AL,South,East South Central,1320.859,209355
1127,1,Walker,Alabama,AL,South,East South Central,791.002,63521
1129,1,Washington,Alabama,AL,South,East South Central,1080.206,16326
1131,1,Wilcox,Alabama,AL,South,East South Central,888.45,10373
1133,1,Winston,Alabama,AL,South,East South Central,612.981,23629
2013,2,Aleutians East Borough,Alaska,AK,West,Pacific,6985.168,3337
2016,2,Aleutians West Census Area,Alaska,AK,West,Pacific,4394.448,5634
2020,2,Anchorage Municipality,Alaska,AK,West,Pacific,1706.8,288000
2050,2,Bethel Census Area,Alaska,AK,West,Pacific,40630.621,18386
2060,2,Bristol Bay Borough,Alaska,AK,West,Pacific,481.981,836
2068,2,Denali Borough,Alaska,AK,West,Pacific,12636.961,2097
2070,2,Dillingham Census Area,Alaska,AK,West,Pacific,18331.641,4916
2090,2,Fairbanks North Star Borough,Alaska,AK,West,Pacific,7329.588,96849
2100,2,Haines Borough,Alaska,AK,West,Pacific,2344.527,2530
2105,2,Hoonah-Angoon Census Area,Alaska,AK,West,Pacific,6556.473,2148
2110,2,Juneau City and Borough,Alaska,AK,West,Pacific,2703.976,31974
2122,2,Kenai Peninsula Borough,Alaska,AK,West,Pacific,16023.191,58708
2130,2,Ketchikan Gateway Borough,Alaska,AK,West,Pacific,4856.925,13901
2150,2,Kodiak Island Borough,Alaska,AK,West,Pacific,6615.364,12998
2164,2,Lake and Peninsula Borough,Alaska,AK,West,Pacific,23904.724,1592
2170,2,Matanuska-Susitna Borough,Alaska,AK,West,Pacific,24714.116,108317
2180,2,Nome Census Area,Alaska,AK,West,Pacific,22970.019,10004
2185,2,North Slope Borough,Alaska,AK,West,Pacific,88824.445,9832
2188,2,Northwest Arctic Borough,Alaska,AK,West,Pacific,35663.959,7621
2195,2,Petersburg Borough,Alaska,AK,West,Pacific,2900.654,3266
2201,2,Prince of Wales-Outer Ketchikan,Alaska,AK,West,Pacific,7683,#N/A
2220,2,Sitka City and Borough,Alaska,AK,West,Pacific,2870.015,8493
2232,2,Skagway-Hoonah-Angoon,Alaska,AK,West,Pacific,10914,#N/A
2240,2,Southeast Fairbanks Census Area,Alaska,AK,West,Pacific,24822.785,6893
2261,2,Valdez-Cordova Census Area,Alaska,AK,West,Pacific,34221.861,9202
2270,2,Wade Hampton,Alaska,AK,West,Pacific,19673,#N/A
2280,2,Wrangell-Petersburg,Alaska,AK,West,Pacific,3477,#N/A
2282,2,Yakutat City and Borough,Alaska,AK,West,Pacific,7623.278,579
2290,2,Yukon-Koyukuk Census Area,Alaska,AK,West,Pacific,145575.515,5230
4001,4,Apache,Arizona,AZ,West,Mountain,11197.749,71887
4003,4,Cochise,Arizona,AZ,West,Mountain,6209.749,125922
4005,4,Coconino,Arizona,AZ,West,Mountain,18616.784,143476
4007,4,Gila,Arizona,AZ,West,Mountain,4757.996,54018
4009,4,Graham,Arizona,AZ,West,Mountain,4621.877,38837
4011,4,Greenlee,Arizona,AZ,West,Mountain,1842.141,9498
4012,4,La Paz,Arizona,AZ,West,Mountain,4496.358,21108
4013,4,Maricopa,Arizona,AZ,West,Mountain,9200.669,4485414
4015,4,Mohave,Arizona,AZ,West,Mountain,13331.861,212181
4017,4,Navajo,Arizona,AZ,West,Mountain,9950.053,110924
4019,4,Pima,Arizona,AZ,West,Mountain,9188.69,1047279
4021,4,Pinal,Arizona,AZ,West,Mountain,5366.047,462789
4023,4,Santa Cruz,Arizona,AZ,West,Mountain,1236.235,46498
4025,4,Yavapai,Arizona,AZ,West,Mountain,8123.098,235099
4027,4,Yuma,Arizona,AZ,West,Mountain,5513.839,213787
5001,5,Arkansas,Arkansas,AR,South,West South Central,988.813,17486
5003,5,Ashley,Arkansas,AR,South,West South Central,925.359,19657
5005,5,Baxter,Arkansas,AR,South,West South Central,554.251,41932
5007,5,Benton,Arkansas,AR,South,West South Central,847.901,279141
5009,5,Boone,Arkansas,AR,South,West South Central,589.995,37432
5011,5,Bradley,Arkansas,AR,South,West South Central,649.236,10763
5013,5,Calhoun,Arkansas,AR,South,West South Central,628.565,5189
5015,5,Carroll,Arkansas,AR,South,West South Central,630.051,28380
5017,5,Chicot,Arkansas,AR,South,West South Central,644.727,10118
5019,5,Clark,Arkansas,AR,South,West South Central,866.077,22320
5021,5,Clay,Arkansas,AR,South,West South Central,639.468,14551
5023,5,Cleburne,Arkansas,AR,South,West South Central,553.701,24919
5025,5,Cleveland,Arkansas,AR,South,West South Central,597.779,7956
5027,5,Columbia,Arkansas,AR,South,West South Central,765.983,23457
5029,5,Conway,Arkansas,AR,South,West South Central,552.276,20846
5031,5,Craighead,Arkansas,AR,South,West South Central,707.303,110332
5033,5,Crawford,Arkansas,AR,South,West South Central,593.767,63257
5035,5,Crittenden,Arkansas,AR,South,West South Central,610.382,47955
5037,5,Cross,Arkansas,AR,South,West South Central,616.382,16419
5039,5,Dallas,Arkansas,AR,South,West South Central,667.386,7009
5041,5,Desha,Arkansas,AR,South,West South Central,768.135,11361
5043,5,Drew,Arkansas,AR,South,West South Central,828.378,18219
5045,5,Faulkner,Arkansas,AR,South,West South Central,647.957,126007
5047,5,Franklin,Arkansas,AR,South,West South Central,608.848,17715
5049,5,Fulton,Arkansas,AR,South,West South Central,618.188,12477
5051,5,Garland,Arkansas,AR,South,West South Central,677.619,99386
5053,5,Grant,Arkansas,AR,South,West South Central,631.812,18265
5055,5,Greene,Arkansas,AR,South,West South Central,577.688,45325
5057,5,Hempstead,Arkansas,AR,South,West South Central,727.521,21532
5059,5,Hot Spring,Arkansas,AR,South,West South Central,615.29,33771
5061,5,Howard,Arkansas,AR,South,West South Central,588.567,13202
5063,5,Independence,Arkansas,AR,South,West South Central,764.025,37825
5065,5,Izard,Arkansas,AR,South,West South Central,580.595,13629
5067,5,Jackson,Arkansas,AR,South,West South Central,633.837,16719
5069,5,Jefferson,Arkansas,AR,South,West South Central,870.052,66824
5071,5,Johnson,Arkansas,AR,South,West South Central,659.841,26578
5073,5,Lafayette,Arkansas,AR,South,West South Central,528.295,6624
5075,5,Lawrence,Arkansas,AR,South,West South Central,587.614,16406
5077,5,Lee,Arkansas,AR,South,West South Central,602.621,8857
5079,5,Lincoln,Arkansas,AR,South,West South Central,561.541,13024
5081,5,Little River,Arkansas,AR,South,West South Central,532.246,12259
5083,5,Logan,Arkansas,AR,South,West South Central,708.272,21466
5085,5,Lonoke,Arkansas,AR,South,West South Central,771.374,73309
5087,5,Madison,Arkansas,AR,South,West South Central,834.259,16576
5089,5,Marion,Arkansas,AR,South,West South Central,596.957,16694
5091,5,Miller,Arkansas,AR,South,West South Central,625.732,43257
5093,5,Mississippi,Arkansas,AR,South,West South Central,900.576,40651
5095,5,Monroe,Arkansas,AR,South,West South Central,607.133,6701
5097,5,Montgomery,Arkansas,AR,South,West South Central,779.92,8986
5099,5,Nevada,Arkansas,AR,South,West South Central,617.843,8252
5101,5,Newton,Arkansas,AR,South,West South Central,820.904,7753
5103,5,Ouachita,Arkansas,AR,South,West South Central,732.783,23382
5105,5,Perry,Arkansas,AR,South,West South Central,551.559,10455
5107,5,Phillips,Arkansas,AR,South,West South Central,695.628,17782
5109,5,Pike,Arkansas,AR,South,West South Central,600.625,10718
5111,5,Poinsett,Arkansas,AR,South,West South Central,758.362,23528
5113,5,Polk,Arkansas,AR,South,West South Central,857.48,19964
5115,5,Pope,Arkansas,AR,South,West South Central,812.516,64072
5117,5,Prairie,Arkansas,AR,South,West South Central,647.869,8062
5119,5,Pulaski,Arkansas,AR,South,West South Central,758.436,391911
5121,5,Randolph,Arkansas,AR,South,West South Central,652.224,17958
5123,5,St. Francis,Arkansas,AR,South,West South Central,634.759,24994
5125,5,Saline,Arkansas,AR,South,West South Central,723.574,122437
5127,5,Scott,Arkansas,AR,South,West South Central,892.366,10281
5129,5,Searcy,Arkansas,AR,South,West South Central,666.009,7881
5131,5,Sebastian,Arkansas,AR,South,West South Central,531.169,127827
5133,5,Sevier,Arkansas,AR,South,West South Central,565.305,17007
5135,5,Sharp,Arkansas,AR,South,West South Central,604.405,17442
5137,5,Stone,Arkansas,AR,South,West South Central,606.472,12506
5139,5,Union,Arkansas,AR,South,West South Central,1039.254,38682
5141,5,Van Buren,Arkansas,AR,South,West South Central,709.75,16545
5143,5,Washington,Arkansas,AR,South,West South Central,941.977,239187
5145,5,White,Arkansas,AR,South,West South Central,1035.074,78753
5147,5,Woodruff,Arkansas,AR,South,West South Central,586.786,6320
5149,5,Yell,Arkansas,AR,South,West South Central,930.104,21341
6001,6,Alameda,California,CA,West,Pacific,737.306,1671329
6003,6,Alpine,California,CA,West,Pacific,738.34,1129
6005,6,Amador,California,CA,West,Pacific,594.572,39752
6007,6,Butte,California,CA,West,Pacific,1636.489,219186
