fips,state_fips,conty_name,state_name,state_abbrev,sqmi,pop,current_cases,current_deaths,diff_cases,diff_deaths,num_beds,num_icu,bed_util,positive,hospitalizedCurrently,hospitalized_rate
1001,1,Autauga,Alabama,AL,594.444,55869.0,37.0,2.0,1.4285714285714286,0.0,85.0,6.0,0.623113,7434,1.0,0.1
1003,1,Baldwin,Alabama,AL,1589.8229999999999,223234.0,154.0,3.0,5.714285714285714,0.0,320.0,51.0,0.552649733,7434,1.0,0.1
1005,1,Barbour,Alabama,AL,885.008,24686.0,33.0,0.0,1.8571428571428572,0.0,74.0,5.0,0.43063999999999997,7434,1.0,0.1
1007,1,Bibb,Alabama,AL,622.461,22394.0,35.0,0.0,1.0,0.0,35.0,4.0,0.376219,7434,1.0,0.1
1009,1,Blount,Alabama,AL,644.831,57826.0,31.0,0.0,1.4285714285714286,0.0,25.0,6.0,0.499069,7434,1.0,0.1
1011,1,Bullock,Alabama,AL,622.812,10101.0,12.0,0.0,0.42857142857142855,0.0,61.0,5.0,0.212877,7434,1.0,0.1
1013,1,Butler,Alabama,AL,776.8389999999999,19448.0,28.0,0.0,2.0,0.0,72.0,7.0,0.183251,7434,1.0,0.1
1015,1,Calhoun,Alabama,AL,605.87,113605.0,90.0,3.0,2.5714285714285716,0.14285714285714285,448.0,24.0,0.4045205,7434,1.0,0.1
1017,1,Chambers,Alabama,AL,596.561,33254.0,284.0,18.0,5.428571428571429,0.5714285714285714,115.0,15.0,1.0,7434,1.0,0.1
1019,1,Cherokee,Alabama,AL,553.525,26196.0,12.0,0.0,0.0,0.0,60.0,8.0,0.24253200000000003,7434,1.0,0.1
1021,1,Chilton,Alabama,AL,692.852,44428.0,49.0,1.0,1.0,0.14285714285714285,30.0,6.0,0.285458,7434,1.0,0.1
1023,1,Choctaw,Alabama,AL,913.467,12589.0,27.0,0.0,1.8571428571428572,0.0,25.0,4.0,0.2347397,7434,1.0,0.1
1025,1,Clarke,Alabama,AL,1238.42,23622.0,25.0,1.0,0.14285714285714285,0.14285714285714285,85.0,10.0,0.2897845,7434,1.0,0.1
1027,1,Clay,Alabama,AL,603.961,13235.0,19.0,1.0,0.14285714285714285,0.14285714285714285,45.0,4.0,0.291126,7434,1.0,0.1
1029,1,Cleburne,Alabama,AL,560.104,14910.0,12.0,1.0,0.0,0.0,1.0,1.0,1.0,7434,1.0,0.1
1031,1,Coffee,Alabama,AL,678.9860000000001,52342.0,88.0,0.0,4.142857142857143,0.0,131.0,7.0,0.23805199999999999,7434,1.0,0.1
1033,1,Colbert,Alabama,AL,592.745,55241.0,23.0,2.0,1.0,0.14285714285714285,383.0,22.0,0.25880149999999996,7434,1.0,0.1
1035,1,Conecuh,Alabama,AL,850.2,12067.0,9.0,0.0,-0.14285714285714285,0.0,58.0,8.0,0.293836,7434,1.0,0.1
1037,1,Coosa,Alabama,AL,650.911,10663.0,29.0,1.0,1.0,0.0,1.0,1.0,1.0,7434,1.0,0.1
1039,1,Covington,Alabama,AL,1030.559,37049.0,32.0,0.0,1.4285714285714286,-0.14285714285714285,187.0,13.0,0.3060065,7434,1.0,0.1
1041,1,Crenshaw,Alabama,AL,608.865,13772.0,10.0,0.0,0.5714285714285714,0.0,65.0,5.0,0.126027,7434,1.0,0.1
1043,1,Cullman,Alabama,AL,734.7410000000001,83768.0,49.0,0.0,1.0,0.0,145.0,12.0,0.5081720000000001,7434,1.0,0.1
1045,1,Dale,Alabama,AL,561.101,49172.0,25.0,0.0,0.7142857142857143,0.0,89.0,6.0,0.28824099999999997,7434,1.0,0.1
1047,1,Dallas,Alabama,AL,978.738,37196.0,32.0,2.0,1.0,0.0,175.0,23.0,0.4046,7434,1.0,0.1
1049,1,DeKalb,Alabama,AL,777.0989999999999,71513.0,63.0,2.0,3.0,0.0,134.0,12.0,0.292219,7434,1.0,0.1
1051,1,Elmore,Alabama,AL,618.446,81209.0,77.0,1.0,2.0,0.0,138.0,11.0,0.33092,7434,1.0,0.1
1053,1,Escambia,Alabama,AL,945.2230000000001,36633.0,22.0,1.0,1.0,0.14285714285714285,142.0,14.0,0.32409899999999997,7434,1.0,0.1
1055,1,Etowah,Alabama,AL,535.0880000000001,102268.0,123.0,8.0,3.5714285714285716,0.14285714285714285,627.0,85.0,0.4914125,7434,1.0,0.1
1057,1,Fayette,Alabama,AL,627.684,16302.0,5.0,0.0,0.14285714285714285,0.0,61.0,8.0,0.261309,7434,1.0,0.1
1059,1,Franklin,Alabama,AL,633.919,31362.0,38.0,0.0,3.0,0.0,125.0,11.0,0.353704,7434,1.0,0.1
1061,1,Geneva,Alabama,AL,574.481,26271.0,7.0,0.0,0.42857142857142855,0.0,83.0,6.0,0.165847,7434,1.0,0.1
1063,1,Greene,Alabama,AL,647.023,8111.0,44.0,0.0,2.142857142857143,0.0,20.0,4.0,0.067534,7434,1.0,0.1
